players,endpoint,latency
0,GAME_LIST,326
0,JOIN,199
0,STATE_GET,179
0,PLAY,199
0,PLAY,195
0,PLAY,172
0,PLAY,200
0,PLAY,203
0,PLAY,172
0,PUSH_MESSAGE,1569398957522
0,PUSH_MESSAGE,1569398957527
0,PUSH_MESSAGE,1569398957528
0,PUSH_MESSAGE,1569398957528
0,PUSH_MESSAGE,1569398957529
0,PUSH_MESSAGE,1569398957530
0,PUSH_MESSAGE,1569398957531
0,PUSH_MESSAGE,1569398957532
0,PUSH_MESSAGE,1569398957534
0,PLAY,201
0,PUSH_MESSAGE,1569398957539
0,PUSH_MESSAGE,1569398957559
0,PLAY,196
0,PUSH_MESSAGE,1569398957745
0,PUSH_MESSAGE,1569398957762
0,PLAY,197
0,PUSH_MESSAGE,1569398957941
0,PUSH_MESSAGE,1569398957960
0,PLAY,174
0,PUSH_MESSAGE,1569398958191
0,PLAY,198
0,PUSH_MESSAGE,1569398958366
0,PLAY,197
0,PUSH_MESSAGE,1569398958511
0,PUSH_MESSAGE,1569398958529
0,PLAY,198
0,PUSH_MESSAGE,1569398958763
0,PLAY,170
0,PUSH_MESSAGE,1569398958950
0,PLAY,172
0,PLAY,182
0,PUSH_MESSAGE,1569398959298
0,PLAY,190
0,PUSH_MESSAGE,1569398959491
0,PLAY,445
0,PUSH_MESSAGE,1569398959629
0,PUSH_MESSAGE,1569398959645
0,PLAY,176
0,PLAY,187
0,PUSH_MESSAGE,1569398960249
0,PLAY,189
0,PUSH_MESSAGE,1569398960485
0,PLAY,204
0,PUSH_MESSAGE,1569398960624
0,PUSH_MESSAGE,1569398960642
0,PLAY,202
0,PUSH_MESSAGE,1569398960833
0,PUSH_MESSAGE,1569398960859
0,PLAY,186
0,PLAY,186
0,PUSH_MESSAGE,1569398961219
0,PUSH_MESSAGE,1569398961224
0,PLAY,189
0,PLAY,174
0,PLAY,174
0,PUSH_MESSAGE,1569398961888
0,PUSH_MESSAGE,1569398961892
0,PLAY,173
0,PLAY,184
0,PUSH_MESSAGE,1569398962118
0,PLAY,181
0,PUSH_MESSAGE,1569398962299
0,PLAY,181
0,PUSH_MESSAGE,1569398962481
0,PUSH_MESSAGE,1569398962539
0,PLAY,181
0,PUSH_MESSAGE,1569398962663
0,PUSH_MESSAGE,1569398962776
0,PLAY,181
0,PUSH_MESSAGE,1569398962847
0,PLAY,182
0,PUSH_MESSAGE,1569398963026
0,PLAY,181
0,PUSH_MESSAGE,1569398963224
0,PLAY,182
0,PUSH_MESSAGE,1569398963441
0,PLAY,195
0,PUSH_MESSAGE,1569398963626
0,PLAY,175
0,PLAY,184
0,PUSH_MESSAGE,1569398963945
0,PLAY,185
0,PUSH_MESSAGE,1569398964128
0,PLAY,182
0,PUSH_MESSAGE,1569398964321
0,PLAY,185
0,PUSH_MESSAGE,1569398964500
0,PUSH_MESSAGE,1569398964557
0,PLAY,176
0,PUSH_MESSAGE,1569398964831
0,PLAY,184
0,PUSH_MESSAGE,1569398964863
0,PLAY,183
0,PUSH_MESSAGE,1569398965047
0,PLAY,185
0,PUSH_MESSAGE,1569398965234
0,PLAY,182
0,PUSH_MESSAGE,1569398965420
0,PLAY,195
0,PUSH_MESSAGE,1569398965601
0,PLAY,184
0,PUSH_MESSAGE,1569398965794
0,PLAY,199
0,PUSH_MESSAGE,1569398966025
0,PUSH_MESSAGE,1569398966033
0,PLAY,177
