players,endpoint,latency
0,GAME_LIST,296
0,JOIN,170
0,STATE_GET,169
0,PLAY,172
0,PUSH_MESSAGE,1572771439895
0,PUSH_MESSAGE,1572771439898
0,PUSH_MESSAGE,1572771439951
0,PLAY,173
0,PUSH_MESSAGE,1572771439971
0,PLAY,147
0,PLAY,173
0,PUSH_MESSAGE,1572771440292
0,PLAY,147
0,PLAY,173
0,PUSH_MESSAGE,1572771440630
0,PUSH_MESSAGE,1572771440715
0,PLAY,177
0,PUSH_MESSAGE,1572771440786
0,PLAY,147
0,PLAY,173
0,PUSH_MESSAGE,1572771441118
0,PLAY,150
0,PLAY,155
0,PUSH_MESSAGE,1572771441435
0,PLAY,157
0,PUSH_MESSAGE,1572771441588
0,PUSH_MESSAGE,1572771441662
0,PLAY,171
0,PUSH_MESSAGE,1572771441750
0,PUSH_MESSAGE,1572771441823
0,PLAY,177
0,PUSH_MESSAGE,1572771441920
0,PLAY,184
0,PUSH_MESSAGE,1572771442099
0,PLAY,172
0,PLAY,171
0,PLAY,182
0,PLAY,182
0,PLAY,175
0,PLAY,172
0,PLAY,148
0,PLAY,146
0,PLAY,170
0,PLAY,171
0,PLAY,146
0,PLAY,147
0,PLAY,147
0,PLAY,148
0,PLAY,149
0,PLAY,174
0,PUSH_MESSAGE,1572771444714
0,PLAY,147
0,PLAY,179
0,PUSH_MESSAGE,1572771445040
0,PLAY,148
0,PLAY,174
0,PUSH_MESSAGE,1572771445364
0,PLAY,148
0,PLAY,175
0,PUSH_MESSAGE,1572771445687
0,PUSH_MESSAGE,1572771445743
0,PLAY,176
0,PUSH_MESSAGE,1572771445869
0,PLAY,147
0,PUSH_MESSAGE,1572771446098
0,PLAY,146
0,PLAY,172
0,PUSH_MESSAGE,1572771446333
0,PLAY,146
0,PUSH_MESSAGE,1572771446592
0,PLAY,156
0,PUSH_MESSAGE,1572771446660
0,PUSH_MESSAGE,1572771446759
0,PLAY,155
0,PUSH_MESSAGE,1572771446815
0,PUSH_MESSAGE,1572771446928
0,PLAY,157
0,PUSH_MESSAGE,1572771446966
0,PLAY,154
0,PUSH_MESSAGE,1572771447122
0,PUSH_MESSAGE,1572771447248
0,PLAY,169
0,PUSH_MESSAGE,1572771447278
0,PLAY,145
